ean,descricao_normalizada,PROD,PROD_X,TIPO,MARCA,MARCA_X,EMBAL,PESO
7896086420305,ARROZ ARBORIO EMPORIO SAO JOAO CULINARIA ITALIANA PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,EMPORIO SAO JOAO,CULINARIA ITALIANA,PACOTE,1KG
7896086420367,ARROZ ARBORIO EMPORIO SAO JOAO CULINARIA ITALIANA PACOTE 500 GRAMAS,ARROZ,ARBORIO,,EMPORIO SAO JOAO,CULINARIA ITALIANA,PACOTE,500G
7896584301243,ARROZ ARBORIO FANTASTICO CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,FANTASTICO,,CAIXA,1KG
8001200032206,ARROZ ARBORIO FLORA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,FLORA,,CAIXA,1KG
8001420001624,ARROZ ARBORIO GALLO RISERVA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,GALLO,RISERVA,CAIXA,1KG
8001200042878,ARROZ ARBORIO GARIBOLDI CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,GARIBOLDI,,CAIXA,1KG
8001200042892,ARROZ ARBORIO GARIBOLDI PREGIATI CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,GARIBOLDI,PREGIATI,CAIXA,1KG
8027498011747,ARROZ ARBORIO GLI AIRONI PACOTE 500 GRAMAS,ARROZ,ARBORIO,,GLI AIRONI,,PACOTE,500G
8032605020314,ARROZ ARBORIO GRANDI RISO CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,GRANDI RISO,,CAIXA,1KG
7896063700307,ARROZ ARBORIO GUACIRA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,GUACIRA,,CAIXA,1KG
7898184537800,ARROZ ARBORIO IMPERATORE CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,IMPERATORE,,CAIXA,1KG
7898352040446,ARROZ ARBORIO INTEGRAL RUZENE VACUO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,RUZENE,VACUO,PACOTE,1KG
8001420002140,ARROZ ARBORIO INVERNI CAIXA 500 GRAMAS,ARROZ,ARBORIO,,INVERNI,,CAIXA,500G
7899657200337,ARROZ ARBORIO ITALIANO FEGARO CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,FEGARO,,CAIXA,1KG
7898953924206,ARROZ ARBORIO ITALINAO MAMMA BIA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,MAMMA BIA,,CAIXA,1KG
7896084700287,ARROZ ARBORIO KIARROZ PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,KIARROZ,,PACOTE,1KG
7896196061337,ARROZ ARBORIO LA PASTINA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,LA PASTINA,,CAIXA,1KG
7896196064772,ARROZ ARBORIO LA PASTINA CAIXA 500 GRAMAS,ARROZ,ARBORIO,,LA PASTINA,,CAIXA,500G
7897082502972,ARROZ ARBORIO LA RIOJA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,LA RIOJA,,CAIXA,1KG
8028420022053,ARROZ ARBORIO LA RISERA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,LA RISERA,,CAIXA,1KG
7891089012441,ARROZ ARBORIO LA VIOLET CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,LA VIOLET,,CAIXA,1KG
7898953924213,ARROZ ARBORIO MAMMA BIA PACOTE 500 GRAMAS,ARROZ,ARBORIO,,MAMMA BIA,,PACOTE,500G
742832836357,ARROZ ARBORIO MANGIARE PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,MANGIARE,,PACOTE,1KG
7891089044749,ARROZ ARBORIO MASTROIANI DEL PAVESE PACOTE 500 GRAMAS,ARROZ,ARBORIO,,MASTROIANI,DEL PAVESE,PACOTE,500G
7893500039082,ARROZ ARBORIO MEU BIJU CULINARIA ITALIANA ESPECIAL PARA RISOTO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,MEU BIJU,CULINARIA ITALIANA,PACOTE,1KG
8002317001079,ARROZ ARBORIO MORGANTE CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,MORGANTE,,CAIXA,1KG
8002317001086,ARROZ ARBORIO MORGANTE ROMA SUPERFINO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,MORGANTE,SUPERFINO,PACOTE,1KG
7898099660761,ARROZ ARBORIO MR MAN CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,MR MAN,,CAIXA,1KG
7898099663106,ARROZ ARBORIO MR MAN PACOTE 500 GRAMAS,ARROZ,ARBORIO,,MR MAN,,PACOTE,500G
7896079480781,ARROZ ARBORIO NAMORADO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,NAMORADO,,PACOTE,1KG
8032605020420,ARROZ ARBORIO NOR FOODS CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,NOR FOODS,,CAIXA,1KG
8005333104014,ARROZ ARBORIO OBRA PRIMA GOURMET CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,OBRA PRIMA,GOURMET,CAIXA,1KG
8005333109019,ARROZ ARBORIO OBRA PRIMA PACOTE 500 GRAMAS,ARROZ,ARBORIO,,OBRA PRIMA,,PACOTE,500G
7898269781104,ARROZ ARBORIO OLIVATTO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,OLIVATTO,,PACOTE,1KG
7898939882148,ARROZ ARBORIO ORGANICO SOLST PACOTE 500 GRAMAS,ARROZ,ARBORIO,,SOLST,,PACOTE,500G
7898152992129,ARROZ ARBORIO PAGANINI CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,PAGANINI,,CAIXA,1KG
7898152997087,ARROZ ARBORIO PAGANINI PACOTE 500 GRAMAS,ARROZ,ARBORIO,,PAGANINI,,PACOTE,500G
8004350001108,ARROZ ARBORIO PASTAZARA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,PASTAZARA,,CAIXA,1KG
7896864400277,ARROZ ARBORIO PICININ CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,PICININ,,CAIXA,1KG
8002317001178,ARROZ ARBORIO RISO MORGANTE CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,MORGANTE,,CAIXA,1KG
8002130100010,ARROZ ARBORIO RISO VIGNOLA PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,VIGNOLA,,PACOTE,1KG
8002130203292,ARROZ ARBORIO RISOVI CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,RISOVI,,CAIXA,1KG
8002130203834,ARROZ ARBORIO RISOVI CAIXA 2000 GRAMAS,ARROZ,ARBORIO,,RISOVI,,CAIXA,2KG
8001200042885,ARROZ ARBORIO ROMA GARIBOLDI CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,GARIBOLDI,,CAIXA,1KG
8032605020017,ARROZ ARBORIO ROMA GRANDI RISO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,GRANDI RISO,,PACOTE,1KG
8027839011016,ARROZ ARBORIO RONCAIA CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,RONCAIA,,CAIXA,1KG
8027839030017,ARROZ ARBORIO RONCAIA PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,RONCAIA,,PACOTE,1KG
7896046400491,ARROZ ARBORIO ROSALITO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,ROSALITO,,PACOTE,1KG
7898352040453,ARROZ ARBORIO RUZENE INTEGRAL POTE 500 GRAMAS,ARROZ,ARBORIO,,RUZENE,,POTE,500G
7898352040323,ARROZ ARBORIO RUZENE POLIDO POTE 500 GRAMAS,ARROZ,ARBORIO,,RUZENE,,POTE,500G
7898274520040,ARROZ ARBORIO SAN FREDIANO CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,SAN FREDIANO,,CAIXA,1KG
7898942566578,ARROZ ARBORIO SAN FREDIANO CAIXA 500 GRAMAS,ARROZ,ARBORIO,,SAN FREDIANO,,CAIXA,500G
7896950100432,ARROZ ARBORIO SANTAR CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,SANTAR,,CAIXA,1KG
8001860201011,ARROZ ARBORIO SCOTTI CAIXA 1000 GRAMAS,ARROZ,ARBORIO,,SCOTTI,,CAIXA,1KG
8001860201516,ARROZ ARBORIO SCOTTI CAIXA 500 GRAMAS,ARROZ,ARBORIO,,SCOTTI,,CAIXA,500G
7896291100146,ARROZ ARBORIO TIPO 1 GRANJEIRO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,TIPO 1,GRANJEIRO,,PACOTE,1KG
7896362700206,ARROZ ARBORIO TIPO 1 MIGRA PACOTE 1000 GRAMAS,ARROZ,ARBORIO,TIPO 1,MIGRA,,PACOTE,1KG
7896038357017,ARROZ ARBORIO URBANO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,URBANO,,PACOTE,1KG
67896038357019,ARROZ ARBORIO URBANO PACOTE FARDO 10 X 1000 GRAMAS,ARROZ,ARBORIO,,URBANO,,FARDO,1KG
8002130200680,ARROZ ARBORIO VIGNOLA BIOLOGICO PACOTE 1000 GRAMAS,ARROZ,ARBORIO,,VIGNOLA,BIOLOGICO,PACOTE,1KG
7899802204180,ARROZ ARBORIO VILLA CERRONI PACOTE 500 GRAMAS,ARROZ,ARBORIO,,VILLA CERRONI,,PACOTE,500G
7896006702696,ARROZ BASMATI CAMIL CAIXA 500 GRAMAS,ARROZ,BASMATI,,CAMIL,,CAIXA,500G
3222471138915,ARROZ BASMATI CASINO CAIXA 4 X 125 GRAMAS,ARROZ,BASMATI,,CASINO,,CAIXA,125G
7896063700093,ARROZ BASMATI GUACIRA PACOTE 1000 GRAMAS,ARROZ,BASMATI,,GUACIRA,,PACOTE,1KG
7898352040545,ARROZ BASMATI INTEGRAL RUZENE POTE 500 GRAMAS,ARROZ,BASMATI,,RUZENE,,POTE,500G
7898152996745,ARROZ BASMATI LA CUMPARSITA CAIXA 500 GRAMAS,ARROZ,BASMATI,,LA CUMPARSITA,,CAIXA,500G
7896079480705,ARROZ BASMATI NAMORADO GOURMET PACOTE 500 GRAMAS,ARROZ,BASMATI,,NAMORADO,GOURMET,PACOTE,500G
5601228225012,ARROZ BASMATI ORIENTE PACOTE 1000 GRAMAS,ARROZ,BASMATI,,ORIENTE,,PACOTE,1KG
8008105710062,ARROZ BASMATI RISO ELLEBI PACOTE 1000 GRAMAS,ARROZ,BASMATI,,ELLEBI,,PACOTE,1KG
8002130050315,ARROZ BASMATI RISO VIGNOLA CAIXA 500 GRAMAS,ARROZ,BASMATI,,VIGNOLA,,CAIXA,500G
7898352040378,ARROZ BASMATI RUZENE CAIXA 1000 GRAMAS,ARROZ,BASMATI,,RUZENE,,CAIXA,1KG
7898352040385,ARROZ BASMATI RUZENE POTE 500 GRAMAS,ARROZ,BASMATI,,RUZENE,,POTE,500G
8001860260315,ARROZ BASMATI SCOTTI CAIXA 500 GRAMAS,ARROZ,BASMATI,,SCOTTI,,CAIXA,500G
7893500044352,ARROZ BASMATI TIO JOAO PACOTE 500 GRAMAS,ARROZ,BASMATI,,TIO JOAO,,PACOTE,500G
8437010480041,ARROZ BOMBA REY DE ARROCES PACOTE 1000 GRAMAS,ARROZ,BOMBA,,REY DE ARROCES,,PACOTE,1KG
8410657100053,ARROZ BOMBA SANTO TOMAS PACOTE 1000 GRAMAS,ARROZ,BOMBA,,SANTO TOMAS,,PACOTE,1KG
7896011945668,ARROZ BRANCO ORGANICO BLUE VILLE PACOTE 1000 GRAMAS,ARROZ,BRANCO,,BLUE VILLE,,PACOTE,1KG
7898901381044,ARROZ BRANCO ORGANICO FAZENDA DA CASA PACOTE 1000 GRAMAS,ARROZ,BRANCO,,FAZENDA DA CASA,,PACOTE,1KG
7898258123106,ARROZ BRANCO ORGANICO JATOBA AGULHA PACOTE 1000 GRAMAS,ARROZ,BRANCO,,JATOBA,AGULHA,PACOTE,1KG
7898270911965,ARROZ BRANCO ORGANICO KORIN PACOTE 1000 GRAMAS,ARROZ,BRANCO,,KORIN,,PACOTE,1KG
17898270911962,ARROZ BRANCO ORGANICO KORIN PACOTE FARDO 10 X 1000 GRAMAS,ARROZ,BRANCO,,KORIN,,FARDO,1KG
7898941084226,ARROZ BRANCO ORGANICO ORGANIC PACOTE 1000 GRAMAS,ARROZ,BRANCO,,ORGANIC,,PACOTE,1KG
7898941084233,ARROZ BRANCO ORGANICO ORGANIC PACOTE 5000 GRAMAS,ARROZ,BRANCO,,ORGANIC,,PACOTE,5KG
7896086420107,ARROZ BRANCO ORGANICO PATEKO VACUO CAIXA 1000 GRAMAS,ARROZ,BRANCO,,PATEKO,VACUO,CAIXA,1KG
7896290300936,ARROZ BRANCO ORGANICO PRATO FINO PACOTE 1000 GRAMAS,ARROZ,BRANCO,,PRATO FINO,,PACOTE,1KG
7898939882056,ARROZ BRANCO ORGANICO SOLST PACOTE 1000 GRAMAS,ARROZ,BRANCO,,SOLST,,PACOTE,1KG
7898994016878,ARROZ BRANCO ORGANICO TERRA LIVRE AGULHINHA PACOTE 1000 GRAMAS,ARROZ,BRANCO,,TERRA LIVRE,AGULHINHA,PACOTE,1KG
7898994016854,ARROZ BRANCO ORGANICO TERRA LIVRE PACOTE 1000 GRAMAS,ARROZ,BRANCO,,TERRA LIVRE,,PACOTE,1KG
7898103400635,ARROZ BRANCO ORGANICO VIAPAXBIO PACOTE 1000 GRAMAS,ARROZ,BRANCO,,VIAPAXBIO,,PACOTE,1KG
7898103401748,ARROZ BRANCO ORGANICO VIAPAXBIO PACOTE 500 GRAMAS,ARROZ,BRANCO,,VIAPAXBIO,,PACOTE,500G
7898333550018,ARROZ BRANCO ORGANICO VOLKMANN BIODINAMICO PACOTE 1000 GRAMAS,ARROZ,BRANCO,,VOLKMANN,BIODINAMICO,PACOTE,1KG
7898949700029,ARROZ BRANCO POLIDO RETRATOS DO GOSTO BY ALEX ATALA CAIXA 1000 GRAMAS,ARROZ,BRANCO,,RETRATOS DO GOSTO,BY ALEX ATALA,CAIXA,1KG
7898949700012,ARROZ BRANCO POLIDO RETRATOS DO GOSTO BY ALEX ATALA CAIXA 500 GRAMAS,ARROZ,BRANCO,,RETRATOS DO GOSTO,BY ALEX ATALA,CAIXA,500G
7898008170039,ARROZ BRANCO TIPO 1 3 MARCOS PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,MARCOS,,PACOTE,5KG
7896550720603,ARROZ BRANCO TIPO 1 4R AGULHINHA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AGULHINHA,,PACOTE,5KG
7896099100034,ARROZ BRANCO TIPO 1 5 ESTRELAS PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,ESTRELAS,,PACOTE,1KG
7896099100010,ARROZ BRANCO TIPO 1 5 ESTRELAS PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ESTRELAS,,PACOTE,5KG
7897136323331,ARROZ BRANCO TIPO 1 7 POVOS PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,7 POVOS,,PACOTE,5KG
7896493140490,ARROZ BRANCO TIPO 1 A MINEIRA PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,A MINEIRA,,PACOTE,1KG
7896493140483,ARROZ BRANCO TIPO 1 A MINEIRA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,A MINEIRA,,PACOTE,5KG
7896063700208,ARROZ BRANCO TIPO 1 ABATY PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ABATY,,PACOTE,5KG
7896397900565,ARROZ BRANCO TIPO 1 AENE PACOTE 2000 GRAMAS,ARROZ,BRANCO,TIPO 1,AENE,,PACOTE,2KG
7896397900114,ARROZ BRANCO TIPO 1 AENE PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AENE,,PACOTE,5KG
7896292901261,ARROZ BRANCO TIPO 1 AGRO PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AGROSUL,AGRO,PACOTE,5KG
7897879300118,ARROZ BRANCO TIPO 1 AGROSUL PURO GRAO PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AGROSUL,PURO GRAO,PACOTE,5KG
7897607400028,ARROZ BRANCO TIPO 1 AGULHA DE OURO PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AGULHA DE OURO,,PACOTE,5KG
7898008170015,ARROZ BRANCO TIPO 1 AGULHA SUL PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AGULHA SUL,,PACOTE,5KG
7898314960010,ARROZ BRANCO TIPO 1 ALANO PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALANO,,PACOTE,5KG
7896230400238,ARROZ BRANCO TIPO 1 ALBARUSKA EXTRA PACOTE 2000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALBARUSKA,EXTRA,PACOTE,2KG
57896230400134,ARROZ BRANCO TIPO 1 ALBARUSKA FARDO 6 X 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALBARUSKA,,FARDO,5KG
7896230400245,ARROZ BRANCO TIPO 1 ALBARUSKA PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALBARUSKA,,PACOTE,1KG
7896230400023,ARROZ BRANCO TIPO 1 ALBARUSKA PACOTE 2000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALBARUSKA,,PACOTE,2KG
7896230400016,ARROZ BRANCO TIPO 1 ALBARUSKA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALBARUSKA,,PACOTE,5KG
7896356800127,ARROZ BRANCO TIPO 1 ALEGRETE PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALEGRETE,,PACOTE,1KG
7896356800059,ARROZ BRANCO TIPO 1 ALEGRETE PACOTE 2000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALEGRETE,,PACOTE,2KG
7896356800042,ARROZ BRANCO TIPO 1 ALEGRETE PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALEGRETE,,PACOTE,5KG
7896954200060,ARROZ BRANCO TIPO 1 ALES PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALES,,PACOTE,5KG
17896448300112,ARROZ BRANCO TIPO 1 ALIBABA FARDO 6 X 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALIBABA,,FARDO,5KG
7896448300214,ARROZ BRANCO TIPO 1 ALIBABA PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALIBABA,,PACOTE,1KG
7896448300115,ARROZ BRANCO TIPO 1 ALIBABA PREMIUM PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALIBABA,PREMIUM,PACOTE,5KG
7896448300207,ARROZ BRANCO TIPO 1 ALIBABA TRADICAO PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALIBABA,TRADICAO,PACOTE,5KG
17896448300204,ARROZ BRANCO TIPO 1 ALIBABA TRADICAO PACOTE FARDO 6 X 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ALIBABA,TRADICAO,FARDO,5KG
7896775600179,ARROZ BRANCO TIPO 1 AMARELINHA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AMARELINHA,,PACOTE,5KG
7898014490657,ARROZ BRANCO TIPO 1 AMELIA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AMELIA,,PACOTE,5KG
7896938000044,ARROZ BRANCO TIPO 1 AMERICA PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,AMERICA,,PACOTE,1KG
7896938000013,ARROZ BRANCO TIPO 1 AMERICA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AMERICA,,PACOTE,5KG
7898148791156,ARROZ BRANCO TIPO 1 ANAI PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANAI,,PACOTE,5KG
7896062699992,ARROZ BRANCO TIPO 1 ANCELI PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANCELI,,PACOTE,1KG
7896062699794,ARROZ BRANCO TIPO 1 ANCELI PACOTE 2000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANCELI,,PACOTE,2KG
7896062699947,ARROZ BRANCO TIPO 1 ANCELI PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANCELI,,PACOTE,5KG
7898191892985,ARROZ BRANCO TIPO 1 ANCORA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANCORA,,PACOTE,5KG
7896063700406,ARROZ BRANCO TIPO 1 ANDORINHA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANDORINHA,,PACOTE,5KG
7897820300150,ARROZ BRANCO TIPO 1 ANDRADE PACOTE 2000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANDRADE,,PACOTE,2KG
7897820300013,ARROZ BRANCO TIPO 1 ANDRADE PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANDRADE,,PACOTE,5KG
7897562100513,ARROZ BRANCO TIPO 1 ANELIM PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANELIM,,PACOTE,5KG
7897653400034,ARROZ BRANCO TIPO 1 ANGOLINHA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANGOLINHA,,PACOTE,5KG
7898902948062,ARROZ BRANCO TIPO 1 ANINHA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ANINHA,,PACOTE,5KG
7898603420010,ARROZ BRANCO TIPO 1 APETITO PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,APETITO,,PACOTE,5KG
7896901300065,ARROZ BRANCO TIPO 1 ARACA PACOTE 2000 GRAMAS,ARROZ,BRANCO,TIPO 1,ARACA,,PACOTE,2KG
7896901300010,ARROZ BRANCO TIPO 1 ARACA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ARACA,,PACOTE,5KG
7891986001388,ARROZ BRANCO TIPO 1 ARO PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,ARO,,PACOTE,1KG
7891986044606,ARROZ BRANCO TIPO 1 ARO PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ARO,,PACOTE,5KG
7891986041582,ARROZ BRANCO TIPO 1 ARO PREMIUM PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,ARO,PREMIUM,PACOTE,1KG
7891986041599,ARROZ BRANCO TIPO 1 ARO PREMIUM PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ARO,PREMIUM,PACOTE,5KG
7898000610908,ARROZ BRANCO TIPO 1 ARROVITA PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,ARROVITA,,PACOTE,1KG
7898000610137,ARROZ BRANCO TIPO 1 ARROVITA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ARROVITA,,PACOTE,5KG
7896276060045,ARROZ BRANCO TIPO 1 ARROZAL PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,ARROZAL,,PACOTE,1KG
7896276060021,ARROZ BRANCO TIPO 1 ARROZAL PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ARROZAL,,PACOTE,5KG
7891527058048,ARROZ BRANCO TIPO 1 ATENAS PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,ATENAS,,PACOTE,1KG
7891527058024,ARROZ BRANCO TIPO 1 ATENAS PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,ATENAS,,PACOTE,5KG
7896786400164,ARROZ BRANCO TIPO 1 AUREA PACOTE 1000 GRAMAS,ARROZ,BRANCO,TIPO 1,AUREA,,PACOTE,1KG
7896786400034,ARROZ BRANCO TIPO 1 AUREA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AUREA,,PACOTE,5KG
7897660600212,ARROZ BRANCO TIPO 1 AVANZI PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AVANZI,,PACOTE,5KG
7898110750402,ARROZ BRANCO TIPO 1 AZUL PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,AZUL,,PACOTE,5KG
7896901300027,ARROZ BRANCO TIPO 1 BACURI PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,BACURI,,PACOTE,5KG
7896509777511,ARROZ BRANCO TIPO 1 BAO TAMEN PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,BAO TAMEN,,PACOTE,5KG
7896063700345,ARROZ BRANCO TIPO 1 BARBOSA PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,BARBOSA,,PACOTE,5KG
7897553330066,ARROZ BRANCO TIPO 1 BEIRA RIO PACOTE 5000 GRAMAS,ARROZ,BRANCO,TIPO 1,BEIRA RIO,,PACOTE,5KG
